presion,alture,altitud_sobre_nivel_mar,hora
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
0,0,0,2023-05-26 12:43:24.834656
